"id","station_name","line","latitude","longitude"
256,용두(동대문구청),"2호선",37.5740280,127.0380910
257,신길,"5호선",37.5168620,126.9178650
258,영등포구청,"2호선",37.5242000,126.8950300
259,대림(구로구청),"2호선",37.4930130,126.8970750
260,역촌,"6호선",37.6060210,126.9227440
261,압구정,"3호선",37.5270720,127.0284610
262,매봉,"3호선",37.4869470,127.0467690
263,구로디지털단지,"2호선",37.4852660,126.9014010
264,청구,"5호선",37.5606080,127.0139860
265,명동,"4호선",37.5609890,126.9863250
266,강남,신분당선,37.4979900,127.0279120
267,강남구청,분당선,37.5171790,127.0412550
268,봉은사,"9호선(연장)",37.5142190,127.0602450
269,신논현,"9호선",37.5045980,127.0250600
270,양재(서초구청),"3호선",37.4838090,127.0346530
271,구파발,"3호선",37.6367630,126.9188210
272,한양대,"2호선",37.5552730,127.0436550
273,화곡,"5호선",37.5415130,126.8404610
274,신사,"3호선",37.5163340,127.0201140
275,신반포,"9호선",37.5034150,126.9959250
276,당곡,신림선,37.4902998,126.9275133
277,독산,경부선,37.4666130,126.8892490
278,답십리,"5호선",37.5667470,127.0527040
279,장한평,"5호선",37.5614400,127.0646230
280,여의도,"9호선",37.5217470,126.9243570
281,을지로4가,"2호선",37.5673520,126.9980320
282,종로5가,"1호선",37.5709260,127.0018490
283,남구로,"7호선",37.4860560,126.8872490
284,동묘앞,"6호선",37.5731970,127.0164800
285,회현(남대문시장),"4호선",37.5585140,126.9782460
286,신설동,"2호선",37.5760480,127.0246340
287,천호(풍납토성),"8호선",37.5386400,127.1233080
288,구의(광진구청),"2호선",37.5370770,127.0859160
289,어린이대공원(세종대),"7호선",37.5480140,127.0746580
290,망원,"6호선",37.5560940,126.9100520
291,영등포,경부선,37.5155040,126.9076280
292,남영,경부선,37.5410210,126.9713000
293,잠실(송파구청),"8호선",37.5132620,127.1001590
294,용마산,"7호선",37.5736470,127.0867270
295,고덕,"5호선",37.5550040,127.1541510
296,역삼,"2호선",37.5006220,127.0364560
297,대청,"3호선",37.4935140,127.0795320
298,오류동,경인선,37.4945260,126.8453650
299,서빙고,경원선,37.5195940,126.9885370
300,개화,"9호선",37.5786080,126.7981530
301,신대방,"2호선",37.4874620,126.9131490
302,일원,"3호선",37.4836810,127.0843900
303,창동,"4호선",37.6530880,127.0472740
304,삼양,우이신설선,37.6269140,127.0181060
305,화계,우이신설선,37.6341330,127.0175110
306,미아(서울사이버대학),"4호선",37.6266700,127.0259830
307,석계,"6호선",37.6145320,127.0659340
308,당산,"9호선",37.5349460,126.9027670
309,신풍,"7호선",37.5000800,126.9099300
310,종로3가,"3호선",37.5704060,126.9918470
311,강일,"5호선",37.5574900,127.1759300
312,외대앞,경원선,37.5960730,127.0635490
313,오목교(목동운동장앞),"5호선",37.5244960,126.8751810
314,마천,"5호선",37.4949900,127.1527810
315,도봉산,"7호선",37.6895340,127.0460490
316,신당,"6호선",37.5656400,127.0196140
317,광화문(세종문화회관),"5호선",37.5715250,126.9771700
318,종각,"1호선",37.5701610,126.9829230
319,용답,"2호선",37.5619040,127.0508990
320,천왕,"7호선",37.4866370,126.8387130
321,중곡,"7호선",37.5659230,127.0843200
322,중랑,중앙선,37.5949170,127.0761160
323,내방,"7호선",37.4876180,126.9935130
324,버티고개,"6호선",37.5480130,127.0070550
325,을지로입구,"2호선",37.5660140,126.9826180
326,가산디지털단지,"7호선",37.4815810,126.8825810
327,영등포시장,"5호선",37.5226690,126.9051390
328,금천구청,경부선,37.4556260,126.8939800
329,한티,분당선,37.4962370,127.0528730
330,석촌,"8호선",37.5052080,127.1070400
331,송파나루,"9호선(연장)",37.5103720,127.1122160
332,남성,"7호선",37.4845960,126.9712510
333,대방,경부선,37.5133059,126.9257265
334,창신,"6호선",37.5796610,127.0152410
335,안국,"3호선",37.5764770,126.9854430
336,을지로3가,"3호선",37.5663060,126.9916960
337,동대문,"4호선",37.5716870,127.0109300
338,불암산,"4호선",37.6702720,127.0790660
339,수락산,"7호선",37.6778500,127.0553150
340,노원,"7호선",37.6562700,127.0632760
341,태릉입구,"6호선",37.6182940,127.0753970
342,상계,"4호선",37.6608780,127.0735720
343,신목동,"9호선",37.5442770,126.8830800
344,동작(현충원),"9호선",37.5028520,126.9803470
345,서울대벤처타운,신림선,37.4720019,126.9339351
346,신림,"2호선",37.4849266,126.9296159
347,낙성대,"2호선",37.4769300,126.9636930
348,선릉,분당선,37.5042860,127.0482030
349,압구정로데오,분당선,37.5273810,127.0405340
350,삼성(무역센터),"2호선",37.5088440,127.0631600
351,대치,"3호선",37.4946120,127.0636420
352,삼성,수도권 광역급행철도,37.5088700,127.0632400
353,학동,"7호선",37.5142290,127.0316560
354,개포동,분당선,37.4891160,127.0661400
355,까치산,"5호선",37.5317680,126.8466830
356,발산,"5호선",37.5585980,126.8376680
357,가양,"9호선",37.5613910,126.8544560
358,방화,"5호선",37.5774460,126.8127410
359,마포,"5호선",37.5395740,126.9459320
360,합정,"6호선",37.5494570,126.9138080
361,홍대입구,"2호선",37.5574380,126.9267150
362,동대문역사문화공원,"4호선",37.5656130,127.0090540
363,서대문,"5호선",37.5657730,126.9666410
364,시청,"1호선",37.5635880,126.9754110
365,서울,수도권 광역급행철도,37.5556900,126.9729600
366,아차산(어린이대공원후문),"5호선",37.5516910,127.0897610
367,건대입구,"7호선",37.5403730,127.0691910
368,구반포,"9호선",37.5013640,126.9873320
369,마장,"5호선",37.5661000,127.0429730
370,성수,"2호선",37.5445810,127.0559610
371,양천구청,"2호선",37.5123980,126.8658190
372,샛강,"9호선",37.5170969,126.9293990
373,신도림,"2호선",37.5087870,126.8911440
374,양평,"5호선",37.4927730,127.4918370
375,문래,"2호선",37.5179330,126.8947600
376,국회의사당,"9호선",37.5281050,126.9178740
377,여의나루,"5호선",37.5270980,126.9329010
378,서울지방병무청,신림선,37.5060464,126.9227083
379,도림천,"2호선",37.5142870,126.8827680
380,이촌(국립중앙박물관),"4호선",37.5224270,126.9734060
381,상봉(시외버스터미널),"7호선",37.5966780,127.0850400
382,중화,"7호선",37.6025450,127.0792640
383,망우,중앙선,37.5995500,127.0919090
384,가좌,경의중앙선,37.5684910,126.9154870
385,강동구청,"8호선",37.5303410,127.1205080
386,홍제,"3호선",37.5890660,126.9437360
387,방이,"5호선",37.5088570,127.1261330
388,종합운동장,"9호선(연장)",37.5110220,127.0737040
389,한성백제,"9호선(연장)",37.5164040,127.1165030
390,경찰병원,"3호선",37.4959180,127.1245400
391,마들,"7호선",37.6649400,127.0576750
392,방학,경원선,37.6675030,127.0442730
393,신방화,"9호선",37.5675320,126.8166010
394,뚝섬유원지,"7호선",37.5315400,127.0667040
395,응암,"6호선",37.5986050,126.9155770
396,온수(성공회대입구),"7호선",37.4924330,126.8240860
397,옥수,"3호선",37.5404460,127.0186720
398,충무로,"4호선",37.5614300,126.9940720
399,미아사거리,"4호선",37.6132920,127.0300530
400,양천향교,"9호선",37.5683810,126.8413330
401,고려대(종암),"6호선",37.5905080,127.0362960
402,청량리(서울시립대입구),"1호선",37.5807590,127.0483000
403,염창,"9호선",37.5469360,126.8749160
404,제기동,"1호선",37.5781030,127.0348930
405,양재시민의숲(매헌),신분당선,37.4700230,127.0384200
406,도봉,경원선,37.6795630,127.0455950
407,복정,"8호선",37.4710520,127.1267320
408,이태원,"6호선",37.5344880,126.9943020
409,수유(강북구청),"4호선",37.6380520,127.0257320
410,사평,"9호선",37.5042060,127.0152590
411,가오리,우이신설선,37.6415370,127.0167890
412,보라매병원,신림선,37.4929598,126.9234964
413,마포구청,"6호선",37.5635150,126.9033430
414,북한산보국문,우이신설선,37.6120720,127.0082510
415,노량진,"9호선",37.5141490,126.9427100
416,학여울,"3호선",37.4966630,127.0705940
417,송정,"5호선",37.5611840,126.8119730
418,신정(은행정),"5호선",37.5249970,126.8561910
419,신정네거리,"2호선",37.5200740,126.8529120
420,금호,"3호선",37.5480340,127.0158720
421,개롱,"5호선",37.4980790,127.1348200
422,삼각지,"6호선",37.5340750,126.9726000
423,강변(동서울터미널),"2호선",37.5350950,127.0946810
424,송파,"8호선",37.4997030,127.1121830
425,문정,"8호선",37.4858550,127.1225000
426,삼전,"9호선(연장)",37.5047380,127.0880250
427,약수,"3호선",37.5542630,127.0103580
428,동대입구,"3호선",37.5590520,127.0056020
429,서울역,공항철도1호선,37.5562280,126.9721350
430,효창공원앞,경의중앙선,37.5392330,126.9613840
431,용산,경부선,37.5298490,126.9645610
432,행당,"5호선",37.5573220,127.0294760
433,상왕십리,"2호선",37.5643540,127.0293540
434,서울숲,분당선,37.5436170,127.0447070
435,군자(능동),"5호선",37.5568970,127.0793380
436,면목,"7호선",37.5885790,127.0875030
437,봉화산(서울의료원),"6호선",37.6172830,127.0914010
438,삼양사거리,우이신설선,37.6213370,127.0204730
439,북한산우이,우이신설선,37.6629090,127.0127060
440,솔밭공원,우이신설선,37.6560300,127.0132730
441,연신내,"3호선",37.6187800,126.9213000
442,구산,"6호선",37.6113770,126.9172700
443,등촌,"9호선",37.5506320,126.8656890
444,개화산,"5호선",37.5723990,126.8061710
445,증미,"9호선",37.5574020,126.8619390
446,구로,경부선,37.5030390,126.8819660
447,구일,경인선,37.4967560,126.8707930
448,석수,경부선,37.4350470,126.9022950
449,구룡,분당선,37.4868390,127.0588560
450,사당,"2호선",37.4769550,126.9816510
451,선정릉,"9호선(연장)",37.5107350,127.0436770
452,수서,분당선,37.4863700,127.1016100
453,잠실나루,"2호선",37.5207330,127.1037900
454,교대(법원.검찰청),"2호선",37.4930250,127.0137860
455,굽은다리(강동구민회관앞),"5호선",37.5454770,127.1428530
456,강동,"5호선",37.5358040,127.1324810
457,명일,"5호선",37.5513700,127.1439990
458,가락시장,"3호선",37.4928880,127.1183980
459,암사역사공원,"8호선",37.5569500,127.1370200
460,석촌고분,"9호선(연장)",37.5025580,127.0970330
461,사가정,"7호선",37.5808940,127.0884780
462,응봉,경원선,37.5499460,127.0345380
463,뚝섬,"2호선",37.5471840,127.0473670
464,청계산입구,신분당선,37.4472110,127.0556640
465,혜화,"4호선",37.5823360,127.0018440
466,쌍문,"4호선",37.6486270,127.0347090
467,이대,"2호선",37.5567330,126.9460130
468,신촌,경의중앙선,37.5551310,126.9369260
469,녹천,경원선,37.6447990,127.0512690
470,대흥(서강대앞),"6호선",37.5477710,126.9420690
471,증산(명지대앞),"6호선",37.5838760,126.9096450
472,디지털미디어시티,공항철도1호선,37.5761080,126.9013910
473,목동,"5호선",37.5260650,126.8649310
474,월드컵경기장(성산),"6호선",37.5695320,126.8992980
475,상일동,"5호선",37.5567120,127.1664170
476,둔촌동,"5호선",37.5277880,127.1362480
477,독립문,"3호선",37.5745710,126.9577480
478,흑석(중앙대입구),"9호선",37.5087700,126.9637080
479,하계,"7호선",37.6363520,127.0679900
480,방배,"2호선",37.4814260,126.9975960
481,돌곶이,"6호선",37.6105370,127.0564310
482,서강대,경의중앙선,37.5518810,126.9357110
483,신대방삼거리,"7호선",37.4997010,126.9282760
484,보문,"6호선",37.5852860,127.0193810
485,독바위,"6호선",37.6184560,126.9330310
486,중계,"7호선",37.6445830,127.0643030
487,상수,"6호선",37.5477160,126.9228520
488,새절(신사),"6호선",37.5911480,126.9136290
489,경복궁(정부서울청사),"3호선",37.5757620,126.9735300
490,수색,경의중앙선,37.5808420,126.8956110
491,회기,중앙선,37.5894600,127.0575830
492,애오개,"5호선",37.5537360,126.9568200
493,신금호,"5호선",37.5545480,127.0203310
494,한성대입구(삼선교),"4호선",37.5884580,127.0062210
495,충정로(경기대입구),"5호선",37.5597040,126.9643780
496,총신대입구(이수),"4호선",37.4862630,126.9819890
497,고속터미널,"9호선",37.5033670,127.0050680
498,한강진,"6호선",37.5396310,127.0017250
499,숙대입구(갈월),"4호선",37.5445600,126.9721060
500,녹사평(용산구청),"6호선",37.5346750,126.9866950
501,무악재,"3호선",37.5822990,126.9502910
502,양원,중앙선,37.6065960,127.1079060
503,솔샘,우이신설선,37.6202380,127.0136260
504,논현,"7호선",37.5110930,127.0214150
505,이수,"7호선",37.4851960,126.9816050
506,개봉,경인선,37.4945940,126.8596800
507,봉천,"2호선",37.4823620,126.9418920
508,서울대입구(관악구청),"2호선",37.4812470,126.9527390
509,"4.19민주묘지",우이신설선,37.6495020,127.0136840
510,공덕,공항철도1호선,37.5444310,126.9513720
